City,City ID,Temperature,Humidity,Wind Speed,Cloudiness,Latitude
Potosi,3907584,51.7,51.7,6.17,8,-19.59
Yamada,1849876,69.8,69.8,8.05,75,36.58
Svetlopolyansk,856673,64.66,64.66,5.28,88,59.42
Yatou,2225940,78.8,78.8,2.24,40,3.63
Mataura,6201424,39.91,39.91,5.61,24,-46.19
Longyearbyen,2729907,48.2,48.2,9.17,75,78.22
Punta Arenas,3874787,33.8,33.8,13.87,75,-53.16
Upernavik,3418910,34.96,34.96,13,20,72.79
Axim,2303611,74.29,74.29,5.39,56,4.87
Talnakh,1490256,51.25,51.25,5.39,76,69.49
